Altium Designer Pick and Place Locations
C:\Users\delta\AppData\Local\TempReleases\Snapshot\5\Assembly\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       17/12/25
Time:       21:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R2","Yageo RC0805JR-075K1L","BottomLayer","RESC2013X60X35NL10T20","541.339","374.016","180","RES SMD 5.1K OHM 5% 1/8W 0805"
"R1","Yageo RC0805JR-075K1L","BottomLayer","RESC2013X60X35NL10T20","541.338","295.276","0","RES SMD 5.1K OHM 5% 1/8W 0805"
"J1","Molex 105450-0101 (scuffed)","BottomLayer","PCB-zuuv2u5tezfwori2z0s2-1","305.118","275.591","90","Conn USB 3.1 Type C RCP 24 POS 0.5mm Solder RA SMD 24 Terminal 1 Port T/R"
"D128","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","3356.299","118.110","90","LED SMD 3mm neopixel"
"D127","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","3139.764","118.110","90","LED SMD 3mm neopixel"
"D126","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","2923.228","118.110","90","LED SMD 3mm neopixel"
"D125","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","2706.693","118.110","90","LED SMD 3mm neopixel"
"D124","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","2490.157","118.110","90","LED SMD 3mm neopixel"
"D123","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","2273.622","118.110","90","LED SMD 3mm neopixel"
"D122","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","2057.087","118.110","90","LED SMD 3mm neopixel"
"D121","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","1840.551","118.110","90","LED SMD 3mm neopixel"
"D120","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","1624.016","118.110","90","LED SMD 3mm neopixel"
"D119","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","1407.480","118.110","90","LED SMD 3mm neopixel"
"D118","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","1190.945","118.110","90","LED SMD 3mm neopixel"
"D117","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","974.409","118.110","90","LED SMD 3mm neopixel"
"D116","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","757.874","118.110","90","LED SMD 3mm neopixel"
"D115","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","541.339","118.110","90","LED SMD 3mm neopixel"
"D114","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","324.803","118.110","90","LED SMD 3mm neopixel"
"D113","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","108.268","118.110","90","LED SMD 3mm neopixel"
"D112","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","3356.299","334.646","90","LED SMD 3mm neopixel"
"D111","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","3139.764","334.646","90","LED SMD 3mm neopixel"
"D110","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","2923.228","334.646","90","LED SMD 3mm neopixel"
"D109","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","2706.693","334.646","90","LED SMD 3mm neopixel"
"D108","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","2490.157","334.646","90","LED SMD 3mm neopixel"
"D107","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","2273.622","334.646","90","LED SMD 3mm neopixel"
"D106","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","2057.087","334.646","90","LED SMD 3mm neopixel"
"D105","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","1840.551","334.646","90","LED SMD 3mm neopixel"
"D104","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","1624.016","334.646","90","LED SMD 3mm neopixel"
"D103","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","1407.480","334.646","90","LED SMD 3mm neopixel"
"D102","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","1190.945","334.646","90","LED SMD 3mm neopixel"
"D101","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","974.409","334.646","90","LED SMD 3mm neopixel"
"D100","Worldsemi WS2812B-MINI","TopLayer","PCB-2ttavi1bqi6b1gr71otv-1","757.874","334.646","90","LED SMD 3mm neopixel"
